CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8837","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","0800-0850","FORBES 2014","Williams, LaMonte","1","Open",
"8827","ACCT 201","1","Principles of Accounting I","3","","Lec","MWF","0800-0850","FORBES 2070A","Mecham, Nathan","0","Closed",
"8828","ACCT 201","2","Principles of Accounting I","3","","Lec","MWF","0900-0950","LUTR 105","Walker, George","0","Closed",
"8829","ACCT 201","3","Principles of Accounting I","3","","Lec","TR","1100-1215","MCM 110","Scott, Mary","0","Closed",
"8830","ACCT 201","4","Principles of Accounting I","3","","Lec","TR","1330-1445","FORBES 2074","Scott, Mary","0","Closed",
"8831","ACCT 201","5","Principles of Accounting I","3","","Lec","MWF","1000-1050","LUTR 105","Walker, George","0","Closed",
"8832","ACCT 201","6","Principles of Accounting I","3","","Lec","MWF","1400-1450","LUTR 170","Walker, George","0","Closed",
"8833","ACCT 201","7","Principles of Accounting I","3","","Lec","MWF","1300-1350","LUTR 109","Walker, George","0","Closed",
"8823","ACCT 202","2","Principles of Accounting II","3","","Lec","TR","1330-1445","FORBES 1022","Blake, Conner","1","Open",
"8834","ACCT 301","1","Intermediate Accounting I","3","","Lec","MWF","1200-1250","LUTR 264","Mecham, Nathan","0","Closed",
"9259","ACCT 301","2","Intermediate Accounting I","3","","Lec","MWF","0900-0950","FORBES 2070C","Mecham, Nathan","4","Open",
"8824","ACCT 370","1","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1100-1215","LUTR 123","Blake, Conner","0","Closed",
"9258","ACCT 370","2","Acct Info Sys &amp; Data Analytics","3","","Lec","TR","1500-1615","LUTR 123","Blake, Conner","0","Closed",
"8825","ACCT 405","1","Principles of Auditing","3","","Lec","MWF","1300-1350","LUTR 242","Kugel, Jonathan","0","Closed",
"8835","ACCT 407","1","Individl Compliance &amp; Planning","3","","Lec","TR","0930-1045","MCM 312","Scott, Mary","9","Open",
"8826","ACCT 451","1","Govt &amp; Not for Profit Accnting","3","","Lec","MWF","1000-1050","FORBES 2070C","Kugel, Jonathan","6","Open",
"8838","ACCT 500","1","Adv Finc Statement Analysis","3","","Lec","MW","1600-1715","LUTR 242","Donaldson, William","1","Open",
"8839","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","FORBES 2014","Scott, Mary","26","Open",
"8840","ACCT 570","1","Data Management &amp; Analytics","3","","Lec","MW","1800-1915","LUTR 123","Chen, Xian","3","Open",
"8841","ACCT 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 242","Marlowe, Kevin","3","Open",
"9180","AMST 100","1","The American Experiment","3","  AIDE","Lec","MW","1600-1715","MCM 360","Alexander, Jacob","2","Open",
"8070","AMST 100","1M","The American Experiment","3","  AIDE","Lec","MWF","1000-1050","MCM 360","Garmon, Frank","0","Closed",
"8071","AMST 100","2M","The American Experiment","3","  AIDE","Lec","MWF","1100-1150","MCM 360","Garmon, Frank","1","Open",
"8072","AMST 100","3M","The American Experiment","3","  AIDE","Lec","TR","1330-1445","MCM 101","White, Jonathan","0","Closed",
"8073","AMST 100","4M","The American Experiment","3","  AIDE","Lec","MWF","1100-1150","TFAC 205","Kaufer Busch, Elizabeth","1","Open",
"8074","AMST 100","5M","The American Experiment","3","  AIDE","Lec","MWF","1400-1450","MCM 364","Little, David","2","Open",
"8075","AMST 100","6","The American Experiment","3","  AIDE","Lec","MWF","1500-1550","MCM 364","Little, David","0","Closed",
"9178","AMST 100","6M","The American Experiment","3","  AIDE","Lec","TR","1100-1215","FERG 220","Williams, Anthony","0","Closed",
"9114","AMST 100","8","The American Experiment","3","  AIDE","Lec","MWF","1000-1050","MCM 160","Little, David","0","Closed",
"8077","AMST 120","1M","Encounters w/ the Constitution","3","  AIDE","Lec","TR","0930-1045","MCM 310","White, Jonathan","0","Closed",
"8078","AMST 120","2R","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1630-1745","MCM 212","Mims, William","0","Closed",
